org,year,survey,bush,state,edu,age,female,black,weight
cbsnyt,7,9158,NA,CT,SomeColl,18to29,1,0,923
cbsnyt,7,9158,1,PA,Bacc,30to44,1,0,558
cbsnyt,7,9158,0,NJ,HS,65plus,1,0,448
cbsnyt,7,9158,0,CT,SomeColl,18to29,1,0,923
cbsnyt,7,9158,1,NY,HS,30to44,1,0,403
cbsnyt,7,9158,1,NY,Bacc,65plus,1,0,317
cbsnyt,7,9158,1,PA,HS,30to44,0,0,1532
cbsnyt,7,9158,1,ME,HS,65plus,1,0,896
cbsnyt,7,9158,0,NY,Bacc,45to64,0,0,884
cbsnyt,7,9158,0,RI,NoHS,45to64,0,0,4091
cbsnyt,7,9158,0,NJ,Bacc,30to44,1,0,279
cbsnyt,7,9158,1,NY,SomeColl,65plus,1,0,1212
cbsnyt,7,9158,1,NY,Bacc,30to44,1,0,279
cbsnyt,7,9158,0,NJ,Bacc,30to44,1,0,558
cbsnyt,7,9158,0,MA,Bacc,30to44,1,0,558
cbsnyt,7,9158,NA,CT,HS,18to29,1,1,1654
cbsnyt,7,9158,1,NJ,HS,65plus,0,0,568
cbsnyt,7,9158,1,PA,NoHS,65plus,0,0,2691
cbsnyt,7,9158,0,NJ,HS,18to29,1,0,560
cbsnyt,7,9158,0,NY,SomeColl,30to44,0,0,768
cbsnyt,7,9158,0,NY,SomeColl,65plus,1,0,541
cbsnyt,7,9158,0,CT,HS,18to29,0,0,1422
cbsnyt,7,9158,1,PA,HS,45to64,0,0,1069
cbsnyt,7,9158,0,NY,Bacc,30to44,0,0,708
cbsnyt,7,9158,1,NY,Bacc,30to44,0,0,708
cbsnyt,7,9158,0,MA,Bacc,45to64,1,0,697
cbsnyt,7,9158,1,NJ,HS,18to29,0,0,711
cbsnyt,7,9158,1,NJ,Bacc,45to64,1,0,697
cbsnyt,7,9158,0,NJ,SomeColl,65plus,1,0,361
cbsnyt,7,9158,0,MA,NoHS,30to44,0,0,2336
cbsnyt,7,9158,0,NY,HS,45to64,1,0,843
cbsnyt,7,9158,0,TX,NoHS,65plus,0,0,2642
cbsnyt,7,9158,0,MA,SomeColl,30to44,0,0,384
cbsnyt,7,9158,0,PA,Bacc,30to44,0,0,708
cbsnyt,7,9158,0,NY,SomeColl,18to29,0,0,2341
cbsnyt,7,9158,0,FL,HS,30to44,1,0,790
cbsnyt,7,9158,1,NJ,NoHS,65plus,1,0,1061
cbsnyt,7,9158,1,AR,HS,45to64,1,0,1655
cbsnyt,7,9158,1,NJ,HS,45to64,1,0,421
cbsnyt,7,9158,0,TX,Bacc,45to64,0,0,868
cbsnyt,7,9158,1,IL,HS,30to44,1,0,804
cbsnyt,7,9158,1,SC,Bacc,45to64,0,0,868
cbsnyt,7,9158,1,MA,Bacc,18to29,1,0,664
cbsnyt,7,9158,1,FL,NoHS,18to29,0,0,1396
cbsnyt,7,9158,1,SC,Bacc,30to44,1,0,548
cbsnyt,7,9158,1,PA,SomeColl,18to29,0,0,585
cbsnyt,7,9158,1,SC,Bacc,30to44,1,0,548
cbsnyt,7,9158,1,LA,HS,45to64,0,0,1574
cbsnyt,7,9158,0,IL,HS,30to44,1,0,804
cbsnyt,7,9158,NA,FL,HS,65plus,1,0,880
cbsnyt,7,9158,0,VA,Bacc,30to44,1,0,274
cbsnyt,7,9158,0,OK,NoHS,45to64,1,0,1056
cbsnyt,7,9158,0,MA,Bacc,18to29,1,0,664
cbsnyt,7,9158,1,NJ,NoHS,45to64,1,0,1075
cbsnyt,7,9158,0,GA,SomeColl,30to44,1,0,595
cbsnyt,7,9158,1,OH,SomeColl,18to29,0,0,1169
cbsnyt,7,9158,1,MN,HS,30to44,0,0,510
cbsnyt,7,9158,1,LA,HS,30to44,1,0,790
cbsnyt,7,9158,1,CT,SomeColl,30to44,0,0,768
cbsnyt,7,9158,1,MS,Bacc,18to29,0,0,826
cbsnyt,7,9158,0,DC,Bacc,30to44,1,1,809
cbsnyt,7,9158,0,VA,NoHS,65plus,1,0,1042
cbsnyt,7,9158,0,KS,NoHS,65plus,0,0,1344
cbsnyt,7,9158,0,MO,HS,30to44,1,0,402
cbsnyt,7,9158,0,WV,HS,30to44,1,0,790
cbsnyt,7,9158,1,IL,Bacc,30to44,0,0,707
cbsnyt,7,9158,0,KY,SomeColl,30to44,1,0,595
cbsnyt,7,9158,0,MD,Bacc,30to44,1,0,274
cbsnyt,7,9158,NA,WI,Bacc,30to44,1,0,558
cbsnyt,7,9158,1,OK,Bacc,45to64,1,0,342
cbsnyt,7,9158,1,SC,HS,18to29,0,1,4446
cbsnyt,7,9158,1,GA,SomeColl,18to29,1,0,906
cbsnyt,7,9158,1,TN,SomeColl,30to44,1,0,595
cbsnyt,7,9158,0,IL,Bacc,45to64,0,0,221
cbsnyt,7,9158,1,NY,HS,18to29,0,0,2132
cbsnyt,7,9158,1,MS,HS,18to29,0,0,698
cbsnyt,7,9158,1,WV,SomeColl,30to44,1,0,595
cbsnyt,7,9158,1,LA,Bacc,30to44,1,0,548
cbsnyt,7,9158,1,MS,HS,45to64,1,0,827
cbsnyt,7,9158,NA,VA,HS,45to64,1,0,827
cbsnyt,7,9158,NA,SC,NoHS,45to64,1,0,1056
cbsnyt,7,9158,1,TX,Bacc,30to44,0,0,695
cbsnyt,7,9158,1,TN,NoHS,45to64,0,0,4017
cbsnyt,7,9158,1,VA,SomeColl,30to44,0,0,755
cbsnyt,7,9158,0,IL,HS,30to44,0,0,1020
cbsnyt,7,9158,NA,MO,NoHS,45to64,0,0,1362
cbsnyt,7,9158,1,LA,HS,65plus,1,0,440
cbsnyt,7,9158,1,KS,NoHS,18to29,0,0,2130
cbsnyt,7,9158,1,NC,NoHS,45to64,1,0,2111
cbsnyt,7,9158,1,GA,HS,45to64,0,0,525
cbsnyt,7,9158,1,TX,Bacc,18to29,1,0,977
cbsnyt,7,9158,1,MN,Bacc,18to29,0,0,841
cbsnyt,7,9158,1,FL,HS,18to29,1,1,2436
cbsnyt,7,9158,0,FL,Bacc,65plus,1,0,623
cbsnyt,7,9158,1,IL,HS,18to29,1,0,1120
cbsnyt,7,9158,0,OH,SomeColl,18to29,0,0,1169
cbsnyt,7,9158,0,SC,HS,18to29,0,0,2094
cbsnyt,7,9158,0,GA,NoHS,45to64,0,0,2678
cbsnyt,7,9158,0,TX,SomeColl,45to64,1,1,249
cbsnyt,7,9158,0,GA,HS,18to29,1,0,1101
cbsnyt,7,9158,1,FL,SomeColl,30to44,0,0,755
cbsnyt,7,9158,0,TX,Bacc,30to44,0,0,348
cbsnyt,7,9158,0,IL,Bacc,30to44,1,0,418
cbsnyt,7,9158,0,WI,SomeColl,45to64,0,0,872
cbsnyt,7,9158,0,TX,HS,65plus,1,1,649
cbsnyt,7,9158,0,MD,HS,30to44,0,0,1003
cbsnyt,7,9158,1,MD,Bacc,45to64,0,0,868
cbsnyt,7,9158,0,TN,HS,65plus,1,0,440
cbsnyt,7,9158,0,KY,HS,18to29,1,0,1101
cbsnyt,7,9158,0,MI,HS,18to29,0,0,1420
cbsnyt,7,9158,1,MO,HS,30to44,1,0,1206
cbsnyt,7,9158,1,VA,NoHS,30to44,0,0,2294
cbsnyt,7,9158,1,LA,SomeColl,30to44,1,0,446
cbsnyt,7,9158,NA,MN,HS,18to29,1,0,1120
cbsnyt,7,9158,0,FL,HS,18to29,0,0,1396
cbsnyt,7,9158,1,NC,Bacc,45to64,0,0,868
cbsnyt,7,9158,1,TX,HS,45to64,1,0,827
cbsnyt,7,9158,0,FL,HS,30to44,0,1,1597
cbsnyt,7,9158,1,IN,Bacc,45to64,1,0,1392
cbsnyt,7,9158,NA,AR,HS,65plus,0,0,558
cbsnyt,7,9158,1,MS,SomeColl,18to29,0,0,1724
cbsnyt,7,9158,0,MI,HS,65plus,1,0,448
cbsnyt,7,9158,0,TX,SomeColl,18to29,1,0,906
cbsnyt,7,9158,1,NC,HS,30to44,1,0,790
cbsnyt,7,9158,1,NC,NoHS,18to29,1,0,550
cbsnyt,7,9158,1,TX,NoHS,65plus,1,0,1042
cbsnyt,7,9158,1,VA,SomeColl,18to29,1,0,906
cbsnyt,7,9158,1,WV,NoHS,45to64,1,0,2111
cbsnyt,7,9158,1,KY,NoHS,30to44,0,0,2294
cbsnyt,7,9158,1,FL,NoHS,30to44,0,0,1147
cbsnyt,7,9158,0,MI,HS,30to44,1,1,1187
cbsnyt,7,9158,0,FL,HS,30to44,0,0,501
cbsnyt,7,9158,0,MN,NoHS,65plus,0,0,5376
cbsnyt,7,9158,0,TX,NoHS,18to29,0,0,698
cbsnyt,7,9158,1,IL,Bacc,45to64,1,0,348
cbsnyt,7,9158,0,WV,HS,30to44,1,0,790
cbsnyt,7,9158,NA,MN,HS,65plus,1,0,448
cbsnyt,7,9158,0,FL,HS,30to44,0,1,798
cbsnyt,7,9158,1,TN,HS,65plus,1,0,880
cbsnyt,7,9158,1,AZ,SomeColl,30to44,1,0,996
cbsnyt,7,9158,0,ID,Bacc,30to44,1,0,612
cbsnyt,7,9158,0,TX,Bacc,45to64,1,0,684
cbsnyt,7,9158,1,IL,Bacc,65plus,1,0,634
cbsnyt,7,9158,1,TX,Bacc,65plus,1,0,623
cbsnyt,7,9158,1,OH,HS,30to44,1,0,804
cbsnyt,7,9158,1,MS,Bacc,30to44,1,0,548
cbsnyt,7,9158,1,WV,NoHS,65plus,1,0,2083
cbsnyt,7,9158,0,VA,Bacc,45to64,1,0,684
cbsnyt,7,9158,1,WA,HS,30to44,1,0,882
cbsnyt,7,9158,1,FL,Bacc,45to64,0,0,434
cbsnyt,7,9158,0,IA,Bacc,18to29,1,0,331
cbsnyt,7,9158,0,SC,SomeColl,18to29,0,0,1724
cbsnyt,7,9158,1,TX,Bacc,65plus,0,0,790
cbsnyt,7,9158,1,OH,SomeColl,18to29,0,0,1169
cbsnyt,7,9158,1,MN,SomeColl,18to29,1,0,922
cbsnyt,7,9158,1,WA,NoHS,45to64,1,0,2357
cbsnyt,7,9158,1,OH,SomeColl,18to29,1,0,922
cbsnyt,7,9158,1,IL,SomeColl,45to64,1,0,1032
cbsnyt,7,9158,1,FL,SomeColl,18to29,0,0,1724
cbsnyt,7,9158,1,NE,NoHS,65plus,1,0,2119
cbsnyt,7,9158,1,CA,Bacc,30to44,0,0,388
cbsnyt,7,9158,0,MN,HS,45to64,0,0,1601
cbsnyt,7,9158,0,DE,HS,30to44,0,0,501
cbsnyt,7,9158,0,CA,SomeColl,30to44,1,0,1328
cbsnyt,7,9158,0,MI,HS,30to44,1,0,804
cbsnyt,7,9158,0,NE,HS,18to29,1,0,1679
cbsnyt,7,9158,1,ND,Bacc,30to44,0,0,707
cbsnyt,7,9158,0,CA,SomeColl,18to29,1,0,1012
cbsnyt,7,9158,0,AZ,NoHS,45to64,1,0,2357
cbsnyt,7,9158,1,FL,Bacc,30to44,0,0,695
cbsnyt,7,9158,1,WA,HS,18to29,0,0,1558
cbsnyt,7,9158,1,NE,Bacc,18to29,1,0,1326
cbsnyt,7,9158,1,TX,Bacc,45to64,0,0,651
cbsnyt,7,9158,0,MI,SomeColl,18to29,0,0,1169
cbsnyt,7,9158,1,IL,HS,18to29,1,0,1120
cbsnyt,7,9158,0,MO,HS,30to44,1,0,402
cbsnyt,7,9158,1,MI,Bacc,18to29,1,0,994
cbsnyt,7,9158,0,KY,HS,45to64,1,0,414
cbsnyt,7,9158,1,KS,HS,30to44,1,0,804
cbsnyt,7,9158,0,IL,SomeColl,30to44,1,1,1339
cbsnyt,7,9158,0,MI,Bacc,45to64,1,0,348
cbsnyt,7,9158,1,CA,HS,45to64,0,0,586
cbsnyt,7,9158,0,IL,HS,18to29,0,0,1420
cbsnyt,7,9158,0,CA,HS,45to64,1,0,924
cbsnyt,7,9158,0,CA,SomeColl,30to44,1,0,332
cbsnyt,7,9158,0,IL,SomeColl,45to64,1,0,2063
cbsnyt,7,9158,1,CA,SomeColl,65plus,0,0,1003
cbsnyt,7,9158,0,NM,Bacc,45to64,1,0,382
cbsnyt,7,9158,NA,MN,HS,65plus,1,0,895
cbsnyt,7,9158,1,OH,SomeColl,30to44,1,0,605
cbsnyt,7,9158,0,CA,SomeColl,45to64,1,0,377
cbsnyt,7,9158,0,WA,HS,65plus,1,0,491
cbsnyt,7,9158,NA,WI,HS,18to29,1,0,1120
cbsnyt,7,9158,NA,CA,Bacc,30to44,0,0,388
cbsnyt,7,9158,0,KS,Bacc,30to44,0,0,354
cbsnyt,7,9158,0,WA,SomeColl,18to29,1,0,1012
cbsnyt,7,9158,1,WA,SomeColl,45to64,1,0,755
cbsnyt,7,9158,0,CA,Bacc,30to44,0,0,776
cbsnyt,7,9158,1,CA,SomeColl,45to64,0,0,718
cbsnyt,7,9158,1,CA,HS,18to29,0,0,1558
cbsnyt,7,9158,0,NM,SomeColl,30to44,1,0,332
cbsnyt,7,9158,0,OR,Bacc,30to44,0,0,776
cbsnyt,7,9158,0,OH,HS,45to64,1,0,842
cbsnyt,7,9158,1,CA,Bacc,30to44,0,0,776
cbsnyt,7,9158,1,WI,SomeColl,30to44,0,0,768
cbsnyt,7,9158,0,CA,HS,65plus,0,0,1246
cbsnyt,7,9158,1,NM,HS,45to64,0,0,1171
cbsnyt,7,9158,1,CA,HS,65plus,1,0,983
cbsnyt,7,9158,1,WA,SomeColl,65plus,1,0,396
cbsnyt,7,9158,0,CA,SomeColl,30to44,0,0,842
cbsnyt,7,9158,1,CA,Bacc,45to64,0,0,727
cbsnyt,7,9158,1,UT,Bacc,45to64,0,0,1454
cbsnyt,7,9158,1,UT,SomeColl,18to29,1,0,1012
cbsnyt,7,9158,1,CA,HS,45to64,1,0,2309
cbsnyt,7,9158,1,TX,Bacc,30to44,1,1,809
cbsnyt,7,9158,1,CA,SomeColl,30to44,1,0,664
cbsnyt,7,9158,0,MA,Bacc,30to44,0,0,1062
cbsnyt,7,9158,0,NJ,HS,30to44,0,0,511
cbsnyt,7,9158,0,NJ,Bacc,18to29,1,0,1659
cbsnyt,7,9158,1,TN,SomeColl,30to44,1,0,297
cbsnyt,7,9158,1,FL,Bacc,30to44,0,0,348
cbsnyt,7,9158,0,CA,HS,45to64,1,0,462
cbsnyt,7,9158,0,OH,SomeColl,65plus,1,0,721
cbsnyt,7,9158,1,CA,HS,30to44,1,0,882
cbsnyt,7,9158,1,NY,NoHS,18to29,0,0,1422
cbsnyt,7,9158,1,OH,HS,18to29,0,0,1420
cbsnyt,7,9158,1,CA,SomeColl,30to44,1,0,664
cbsnyt,7,9158,0,IL,Bacc,18to29,0,1,669
cbsnyt,7,9158,0,SC,HS,18to29,0,0,1396
cbsnyt,7,9158,0,WA,SomeColl,45to64,1,0,377
cbsnyt,7,9158,1,CA,Bacc,30to44,0,0,776
cbsnyt,7,9158,1,MI,Bacc,45to64,1,0,348
cbsnyt,7,9158,0,NY,Bacc,18to29,0,0,842
cbsnyt,7,9158,1,WI,Bacc,30to44,1,0,558
cbsnyt,7,9158,0,OH,HS,30to44,1,0,804
cbsnyt,7,9158,0,OH,HS,18to29,1,0,1120
cbsnyt,7,9158,0,NY,Bacc,45to64,0,0,884
cbsnyt,7,9158,1,VA,SomeColl,45to64,1,0,676
cbsnyt,7,9158,0,RI,SomeColl,30to44,1,0,606
cbsnyt,7,9158,1,IL,Bacc,30to44,1,0,279
cbsnyt,7,9158,1,OH,HS,18to29,1,0,1120
cbsnyt,7,9158,1,CA,HS,30to44,0,0,1119
cbsnyt,7,9158,0,MA,Bacc,45to64,1,0,1045
cbsnyt,7,9158,1,CA,HS,18to29,1,0,1229
cbsnyt,7,9158,1,OR,HS,30to44,0,0,1679
cbsnyt,7,9158,NA,GA,SomeColl,30to44,0,0,755
cbsnyt,7,9158,0,RI,NoHS,65plus,1,0,1061
cbsnyt,7,9158,1,AZ,HS,45to64,0,0,1171
cbsnyt,7,9158,1,WI,Bacc,18to29,1,0,663
cbsnyt,7,9158,NA,MN,HS,65plus,1,0,448
cbsnyt,7,9158,1,UT,Bacc,30to44,0,0,776
cbsnyt,7,9158,1,MN,HS,18to29,0,0,1420
cbsnyt,7,9158,1,OH,HS,65plus,0,0,1136
cbsnyt,7,9158,0,IA,HS,45to64,1,0,842
cbsnyt,7,9158,0,ME,Bacc,18to29,0,0,421
cbsnyt,7,9158,0,TX,Bacc,18to29,0,0,1653
cbsnyt,7,9158,1,NM,SomeColl,30to44,1,0,332
cbsnyt,7,9158,1,WI,HS,30to44,1,0,402
cbsnyt,7,9158,0,AZ,HS,45to64,1,0,1385
cbsnyt,7,9158,0,MI,HS,45to64,1,0,421
cbsnyt,7,9158,0,MN,SomeColl,30to44,1,0,605
cbsnyt,7,9158,NA,CA,SomeColl,18to29,0,0,642
cbsnyt,7,9158,1,MA,Bacc,45to64,0,0,884
cbsnyt,7,9158,1,CO,SomeColl,30to44,1,0,664
cbsnyt,7,9158,1,NJ,Bacc,30to44,1,0,837
cbsnyt,7,9158,1,VA,SomeColl,18to29,0,0,1150
cbsnyt,7,9158,1,MN,SomeColl,18to29,1,0,461
cbsnyt,7,9158,1,MD,SomeColl,18to29,1,0,906
cbsnyt,7,9158,1,WV,HS,45to64,0,0,1049
cbsnyt,7,9158,1,MI,HS,30to44,0,0,1020
cbsnyt,7,9158,0,CO,Bacc,30to44,1,0,612
cbsnyt,7,9158,0,NJ,HS,45to64,1,0,843
cbsnyt,7,9158,1,WA,SomeColl,18to29,1,0,506
cbsnyt,7,9158,1,KS,SomeColl,18to29,1,0,461
cbsnyt,7,9158,1,OK,SomeColl,18to29,0,0,575
cbsnyt,7,9158,1,OH,HS,45to64,1,0,421
cbsnyt,7,9158,1,OH,Bacc,45to64,1,0,1044
cbsnyt,7,9158,0,CA,Bacc,30to44,0,0,388
cbsnyt,7,9158,0,NY,Bacc,30to44,0,1,564
cbsnyt,7,9158,0,TN,SomeColl,18to29,0,1,1831
cbsnyt,7,9158,0,LA,HS,18to29,0,1,2223
cbsnyt,7,9158,0,MO,Bacc,18to29,0,0,420
cbsnyt,7,9158,1,TN,HS,45to64,0,0,1049
cbsnyt,7,9158,0,LA,SomeColl,30to44,0,1,1202
cbsnyt,7,9158,1,NJ,SomeColl,18to29,0,0,1171
cbsnyt,7,9158,0,FL,HS,65plus,1,0,440
cbsnyt,7,9158,1,PA,Bacc,45to64,0,0,884
cbsnyt,7,9158,0,TN,Bacc,30to44,1,0,548
cbsnyt,7,9158,1,MA,HS,18to29,1,0,1121
cbsnyt,7,9158,0,MI,Bacc,30to44,1,0,558
cbsnyt,7,9158,1,GA,HS,45to64,1,0,1655
cbsnyt,7,9158,0,IL,NoHS,45to64,1,0,2148
cbsnyt,7,9158,1,SC,HS,18to29,0,1,1112
cbsnyt,7,9158,1,NC,SomeColl,45to64,1,0,507
cbsnyt,7,9158,0,IL,HS,18to29,0,0,1420
cbsnyt,7,9158,0,WV,SomeColl,30to44,0,0,377
cbsnyt,7,9158,0,FL,NoHS,18to29,0,0,1396
cbsnyt,7,9158,0,MI,Bacc,45to64,0,0,442
cbsnyt,7,9158,0,MA,HS,30to44,1,0,1208
cbsnyt,7,9158,0,WI,Bacc,18to29,0,0,841
cbsnyt,7,9158,0,NY,HS,30to44,0,0,1021
cbsnyt,7,9158,0,TN,HS,45to64,1,0,1241
cbsnyt,7,9158,0,AR,HS,65plus,0,0,1116
cbsnyt,7,9158,1,OH,HS,30to44,1,0,402
cbsnyt,7,9158,0,GA,NoHS,45to64,1,1,4673
cbsnyt,7,9158,0,MI,HS,30to44,1,0,804
cbsnyt,7,9158,1,FL,SomeColl,45to64,1,0,169
cbsnyt,7,9158,0,MA,SomeColl,18to29,1,0,1846
cbsnyt,7,9158,0,PA,Bacc,65plus,1,0,634
cbsnyt,7,9158,1,MA,SomeColl,65plus,0,0,229
cbsnyt,7,9158,1,OK,SomeColl,18to29,0,0,575
cbsnyt,7,9158,1,IL,SomeColl,30to44,1,0,605
cbsnyt,7,9158,0,IL,HS,65plus,0,0,1136
cbsnyt,7,9158,0,MN,SomeColl,18to29,1,0,461
cbsnyt,7,9158,0,PA,HS,30to44,0,0,1021
cbsnyt,7,9158,1,MI,SomeColl,45to64,0,0,872
cbsnyt,7,9158,0,FL,SomeColl,45to64,0,0,1286
cbsnyt,7,9158,1,GA,Bacc,30to44,1,0,548
cbsnyt,7,9158,0,MI,SomeColl,30to44,0,0,768
cbsnyt,7,9158,0,PA,HS,18to29,1,0,1121
cbsnyt,7,9158,0,GA,HS,30to44,1,0,790
cbsnyt,7,9158,0,MA,Bacc,30to44,0,0,708
cbsnyt,7,9158,0,VA,HS,18to29,0,0,1396
cbsnyt,7,9158,0,MA,HS,18to29,0,0,1422
cbsnyt,7,9158,0,NY,HS,18to29,1,0,1121
cbsnyt,7,9158,0,IL,NoHS,18to29,0,0,2130
cbsnyt,7,9158,0,MO,HS,45to64,1,0,842
cbsnyt,7,9158,1,NE,SomeColl,45to64,1,0,688
cbsnyt,7,9158,1,MI,HS,18to29,0,0,2130
cbsnyt,7,9158,1,NJ,Bacc,30to44,0,0,1416
cbsnyt,7,9158,1,SD,SomeColl,30to44,1,0,303
cbsnyt,7,9158,0,NJ,HS,65plus,0,0,1137
cbsnyt,7,9158,1,TX,NoHS,65plus,1,0,2083
cbsnyt,7,9158,1,NC,SomeColl,30to44,0,1,1202
cbsnyt,7,9158,1,GA,SomeColl,18to29,0,0,1724
cbsnyt,7,9158,0,IL,HS,30to44,0,0,1020
cbsnyt,7,9158,0,NY,HS,18to29,0,1,3396
cbsnyt,7,9158,1,TN,Bacc,65plus,1,0,311
cbsnyt,7,9158,1,IN,NoHS,65plus,1,0,1060
cbsnyt,7,9158,0,IN,SomeColl,30to44,1,0,605
cbsnyt,7,9158,0,NJ,HS,65plus,0,0,1705
cbsnyt,7,9158,0,MA,Bacc,30to44,1,0,279
cbsnyt,7,9158,1,MO,HS,45to64,1,0,842
cbsnyt,7,9158,1,AL,NoHS,30to44,1,1,4002
cbsnyt,7,9158,1,WV,HS,30to44,0,0,501
cbsnyt,7,9158,0,IL,HS,45to64,1,0,421
cbsnyt,7,9158,1,NY,HS,18to29,1,0,1121
cbsnyt,7,9158,0,NY,HS,65plus,0,0,1137
cbsnyt,7,9158,1,NJ,Bacc,30to44,0,0,354
cbsnyt,7,9158,0,VA,Bacc,30to44,0,0,348
cbsnyt,7,9158,1,OH,SomeColl,45to64,0,0,872
cbsnyt,7,9158,1,NY,NoHS,45to64,0,0,2727
cbsnyt,7,9158,0,NY,SomeColl,30to44,1,0,606
cbsnyt,7,9158,0,NH,HS,30to44,0,0,1021
cbsnyt,7,9158,0,MA,HS,18to29,1,0,1121
cbsnyt,7,9158,1,TX,Bacc,45to64,1,0,684
cbsnyt,7,9158,NA,AL,Bacc,30to44,0,0,695
cbsnyt,7,9158,NA,NY,NoHS,65plus,0,0,1346
cbsnyt,7,9158,1,MS,SomeColl,30to44,0,0,755
cbsnyt,7,9158,1,NY,Bacc,30to44,1,0,279
cbsnyt,7,9158,1,MI,HS,45to64,1,0,842
cbsnyt,7,9158,0,MI,HS,45to64,1,0,842
cbsnyt,7,9158,1,SC,Bacc,45to64,0,0,868
